service_request_id,service_name,title,description,requested_datetime,status
883-2021,Bank beschädigt,#883-2021 Bank beschädigt,"Bei 4 von 5 Bänken fehlen die Rückenlehnen.
Bruchstellen sind scharfkantig ",2021-09-23T20:52:18+02:00,open
1947-2021,Brunnen verschmutzt,#1947-2021 Brunnen verschmutzt,"Die Kategorie stimmt nicht ganz: Nicht der Brunnen ist verschmutzt, sondern die Isar. Bei der eingestellten Position bei der Museumsinsel liegt ein elektrischer Roller in der Isar.",2021-12-22T10:30:31+01:00,open
3678-2022,Geh- und Radweg verschmutzt,#3678-2022 Geh- und Radweg verschmutzt,"Die Weiss und Grün Glass Tonne sind uberfull seit Tagen, und Es wird einfach jetzt glass davor am Gehweg gestellt. ",2022-02-14T16:39:32+01:00,open
4071-2022,Verkehrsschild verschmutzt,#4071-2022 Verkehrsschild verschmutzt,Schild beklebt ,2022-02-26T16:38:05+01:00,open
5387-2022,Denkmal verschmutzt,#5387-2022 Denkmal verschmutzt,"Hallo, leider wird dieses interessante Denkmal immer schmutziger und unansehnlicher.
Es wäre sehr schön, wenn es regelmäßig gereinigt würde. Ich finde das hat es verdient da es schon eine Art Kunst im Park ist.

Danke!",2022-04-04T14:00:15+02:00,open
5733-2022,Grünstreifen verschmutzt,#5733-2022 Grünstreifen verschmutzt,"Sehr geehrte Damen und Herren,

die Johanneskirchner Str. zwischen Fürkhofstr. und Ringofenweg ist seit Jahren verschmutzt. In diesem Bereich befindet sich die Städtische Helen-Keller Realschule. Im Gebüsch liegt Müll aller Art. Wenn Sie dafür zuständig sind, bitte organisieren Sie für diese Straße Reinigungstag.

Die Bewohner bedanken sich bei Ihnen.
Mit freundlichen Grüßen",2022-04-16T21:06:04+02:00,open
5790-2022,Park beschädigt,#5790-2022 Park beschädigt,"<p>Hier sind 3 Mülleimer, die defekt sind. Sie kippen immer, so dass die Krähen leichtes Spiel haben, um den Müll heraus zu holen.</p>
",2022-04-19T09:26:35+02:00,open
6039-2022,Denkmal verschmutzt,#6039-2022 Denkmal verschmutzt,Es wird hier wieder verstärkt Unrat abgelegt und gesammelt. Außerdem stinkt es unangenehm nach Urin. ,2022-04-26T14:20:38+02:00,open
6358-2022,Brunnen verschmutzt,#6358-2022 Brunnen verschmutzt,"Der Utabrunnen, Waldtrudering, Tangastraße / Waldtruderinger Str. , benötigt eine Pflege. Es hat sich sehr viel Bewuchs (Moos) gebildet. Der Schriftzug ist nicht mehr zu erkennen und sollte deshalb mit Farbe wieder nachtgezeichnet werden. Eine komplette Reinigung ist notwendig. Der Brunnen steht unter Denkmalschutz. ",2022-05-06T20:35:21+02:00,open
6458-2022,Denkmal verschmutzt,#6458-2022 Denkmal verschmutzt,Diese Ecke am Sendlinger Tor wird sehr häufig als Toilette verwendet und heute musste ich sogar mit ansehen wie jemand dort sein großes Geschäft verrichtet hat. Es stinkt daher nun sehr unangenehm und ich befürchte auch eine Gefahr für die Gesundheit von Kindern und anderen Lebewesen. ,2022-05-09T22:44:21+02:00,open
6475-2022,Denkmal verschmutzt,#6475-2022 Denkmal verschmutzt,Es wird immer mehr Müll und darunter auch gefährliche Stoffe wie alte Ölkanister hier abgelegt. Das ganze zieht sich jetzt schon Wochen so hin. Sollte hier nichts passieren befürchte ich Ratten. Bitte zur Gefahrenabwehr räumen und reinigen. ,2022-05-10T17:04:55+02:00,open
6480-2022,Denkmal verschmutzt,#6480-2022 Denkmal verschmutzt,Extrem verschmutzt und es riecht übel. Überall Fliegen. ,2022-05-10T18:48:59+02:00,open
7549-2022,Brunnen beschädigt,#7549-2022 Brunnen beschädigt,"Die Brunnen im Westpark laufen nicht. Können Sie das Wasser laufen lassen?
Nur der Brunnen an Haupteingang läuft.

Die Brunnen im Alten südlichen Friedhof sowie im Nördlichen Friedhof, Arccistraße, laufen nicht.
Können Sie das Wasser laufen lassen?

Zum Teil müssen die Wasserrohre repariert werden. Bei manchen fehlt der Ablauf. Oder das Überlaufrohr fehlt. Wenn sie es genauer wissen möchten, können Sie mir dies schreiben.

",2022-06-10T14:13:25+02:00,open
7567-2022,Verkehrsschild verschmutzt,#7567-2022 Verkehrsschild verschmutzt,Verkehrsschilder beklebt ,2022-06-11T11:35:26+02:00,open
7934-2022,Brunnen verschmutzt,#7934-2022 Brunnen verschmutzt,"Hallo,

Da ich selbst Anwohner der Max Bill Straße bin, wollte ich mich zum Bauhausplatz inkl. Brunnen wenden.
Ich finde es sehr schade, dass der Platz und der Brunnen oft verschmutzt und fast schäbig aussehen. Das Arrangement aus den Bänken lädt wohl auch nur Jugendliche nach Einbruch der Dunkelheit zum verweilen ein, tagsüber ist es meist leer. Da fast keine Mülltonnen da sind, landet viel am Boden, aus der einen Tonne holen die Krähen alles heraus und verteilen den Müll. 
Der Brunnen selbst funktioniert bzgl Wasser leider auch nicht wie er soll, das Wasser tritt ganz ungleichmäßig aus. Am Boden verteilt es sich scheinbar beliebig, es läuft wohl nicht wie gewünscht, die Fläche darunter ist ja auch fast eben. Überall liegen Kippen. Insgesamt wirkt der ganze Platz leider sehr abschreckend, Gäste oder Freunde würde ich da nicht hinbringen. 
Vielleicht kann man ja an der einen oder anderen Stelle etwas verbessern, ich würde mich sehr freuen. 

Viele Grüße ",2022-06-20T22:13:58+02:00,open
8050-2022,Brunnen beschädigt,#8050-2022 Brunnen beschädigt,"Hallo! Sehr geehrte Damen und Herren,
leider läuft das Wasser im Brunnen noch nicht. Wir fragen uns, ob es vielleicht noch angeschaltet werden könnte. Die Kinder (und Eltern) würden sichbsehr freuen.

Vielen Dank und schöne Grüße,
Yvonne Klöfkorn",2022-06-23T15:30:11+02:00,open
10279-2022,Brunnen verschmutzt,#10279-2022 Brunnen verschmutzt,Brunnen verschmutzt und nicht Betriebsfähig,2022-08-27T22:57:34+02:00,open
12521-2022,Brunnen verschmutzt,#12521-2022 Brunnen verschmutzt,Jede Menge Dreck und Müll im und um den Brunnen.,2022-10-31T17:54:42+01:00,open
13495-2022,Denkmal verschmutzt,#13495-2022 Denkmal verschmutzt,"Untragbare Zustände: Müll, Graffitis, Uringeruch. 
Außerdem wird man regelmäßig angepöbelt wenn man diesen Durchgang im Sendlinger Tor benutzt. ",2022-11-22T21:38:57+01:00,open
15385-2023,Denkmal beschädigt,#15385-2023 Denkmal beschädigt,"Die Statue der Venus (eines von zwei Reiterbildern) am Rand des Bavariaparks wurde schon vor Jahren beschädigt: ihr Spiegel wurde entfernt. Wann wird er endlich durch einen neuen ersetzt? z.B. durch Metall statt Stein, damit er nicht mehr so leicht zertrümmert werden kann. Danke.",2023-01-23T16:49:33+01:00,open
16337-2023,Brunnen verschmutzt,#16337-2023 Brunnen verschmutzt,Müll am Ende des Kanals,2023-02-20T18:22:13+01:00,open
17372-2023,Denkmal verschmutzt,#17372-2023 Denkmal verschmutzt,Hier haben sich Tauben eingenistet und der Taubenschreck am kompletten Sendlinger Tor scheint nicht zu funktionieren. Erhebliche Verschmutzung durch Kot und Federn. Außerdem steht das Fahrrad schon ein halbes Jahr dort. ,2023-03-21T12:42:28+01:00,open
17943-2023,Denkmal verschmutzt,#17943-2023 Denkmal verschmutzt,"Das hat weh getan.  Der Max-Joseph-Platz  ist übersäht mit losen Steinen. Diese werden von den Besuchern der umliegenden Lokale ( nach Sportereignis) gerne als Ball benützt und in die Gegend geschossen.
Leider traf es gestern einen Besucher am Knöchel. Vorschlag: entweder wieder einbauen und verfugen oder einsammeln und bis zum Umbau warten. Eine Party-Zone wird dort jedenfalls nicht benötigt.
Ein Opernplatz mit Residenz  gehört eluminert ( Voltaik mit Speicher )  Pflanztröge im Hintergrund können Optik bieten aber den Blick nicht verstellen. Nachtwirkung.  WG",2023-04-10T11:20:10+02:00,open
18691-2023,Brunnen verschmutzt,#18691-2023 Brunnen verschmutzt,"Ich weiß nicht, ob man das gut sieht: Becken ist heute Nacht vollgelaufen, Abfluss ist verstopft, Türchen ist wieder mal offen, hier laufen viele Kleinkinder umher, manche leider ohne direkte Aufsicht! 
Bitte endlich mal die Absperrung-Vorrichtung der Tür optimieren ",2023-05-06T08:11:41+02:00,open
18693-2023,Brunnen verschmutzt,#18693-2023 Brunnen verschmutzt,Klenze-Brunnen in der Ludwigstraße 20 (Arkaden) verschmutzt und außer Betrieb. Gärtner-Brunnen daneben auch betroffen.,2023-05-06T09:06:00+02:00,open
18724-2023,Brunnen beschädigt,#18724-2023 Brunnen beschädigt,Wasser tritt aus dem unterirdischen Hydranten aus.,2023-05-07T09:37:36+02:00,open
18749-2023,Brunnen beschädigt,#18749-2023 Brunnen beschädigt,Hohenzollernplatz- Brunnen: Mehrere Ablaufgitter locker/lose,2023-05-07T18:14:13+02:00,open
18940-2023,Denkmal verschmutzt,#18940-2023 Denkmal verschmutzt,"Hat die Stadt überhaupt vor, Denkmäler, Brücken und Mauer an der Isar wenigstens ab und zu von Graffitis zu bereinigen? Mittlerweile sieht da alles sehr heruntergekommen aus ",2023-05-14T15:14:45+02:00,open
19048-2023,Denkmal verschmutzt,#19048-2023 Denkmal verschmutzt,"Bitte reinigen lassen! 
Danke ",2023-05-18T14:24:23+02:00,open
19329-2023,Brunnen beschädigt,#19329-2023 Brunnen beschädigt,"Am Brunnen am Hohenzollernplatz sind die Siebe nicht mehr verschraubt,  und daher lose. Die Platten werden von spielenden Kindern ausgenommen und es besteht verletzungsgefahr. ",2023-05-25T17:26:04+02:00,open
19370-2023,Brunnen beschädigt,#19370-2023 Brunnen beschädigt,"Grüß Gott,

der Brunnen am Neuhofner Berg läuft über. 
Wenn der Filter am Ablauf nur minimal verschmutzt ist, fließt das Wasser über eine Fuge über/raus. 

Mit freundlichen Grüßen 
",2023-05-26T19:00:45+02:00,open
19527-2023,Brunnen verschmutzt,#19527-2023 Brunnen verschmutzt,"Der Brunnen am Rindermarkt gleicht angesichts des stark verschmutzen Wassers einer Kloake.
Vielleicht wäre es besser ihn trocken zu legen?
Warum?
Mit freundlichen Grüßen 
Sebastian Winkler ",2023-05-30T09:51:11+02:00,open
19566-2023,Grünstreifen verschmutzt,#19566-2023 Grünstreifen verschmutzt,Schild liegt im Grünstreifen,2023-05-30T21:44:55+02:00,open
19588-2023,Brunnen verschmutzt,#19588-2023 Brunnen verschmutzt,"Der Brunnen ist total verdreckt , die „Fontänen“ funktionieren auch nicht und außen um den josef thurner Platz also um den Brunnen liegt auch viel dreck sowie Glasscherben und solche Sachen.
",2023-05-31T11:21:27+02:00,open
19593-2023,Brunnen beschädigt,#19593-2023 Brunnen beschädigt,"Sehr geehrte Damen und Herren, bei uns vor dem Objekt in der Ganghoferstr. 39, 80339 München ist ein Brunnen welcher überläuft. In der angrenzenden Wiese staut sich bereits das Wasser, und ich befürchte das es in unser Objekt reinläuft. Könnten Sie bitte jemanden schicken. Danke sehr.",2023-05-31T12:35:13+02:00,open
19634-2023,Brunnen beschädigt,#19634-2023 Brunnen beschädigt,Beide Fontänen bei der Trauerhalle auf dem Ostfriedhof außer Betrieb,2023-06-01T17:39:37+02:00,open
19633-2023,Brunnen beschädigt,#19633-2023 Brunnen beschädigt,"Die Wasserversorgung ist defekt, dadurch wird das Wasser im Brunnen langsam grün.",2023-06-01T17:39:40+02:00,open
19662-2023,Brunnen verschmutzt,#19662-2023 Brunnen verschmutzt,"Sehr geehrte Damen und Herren,

die Meldung betrifft den Diana-Brunnen am Kufsteiner Platz.

Hier kümmert sich schon seit den vergangenen Jahren offensichtlich niemand um den (optischen) Zustand des Brunnens und des ihn umgebenden  Rondells mit den Sitzbänken (siehe Bilder im Anhang).

Es wäre sehr schön, wenn Sie hier möglichst kurzfristig Abhilfe schaffen könnten, damit der Platz vor dem Brunnen wieder ordentlich ausschaut.

Im voraus schon vielen Dank für Ihre diesbezüglichen Bemühungen. 

Mit freundlichen Grüßen,


Ulrich Bares 



Ulrich Bares
Kufsteiner Platz 5
81679 München 
mail@bares.net ",2023-06-02T16:24:06+02:00,open
19706-2023,Brunnen beschädigt,#19706-2023 Brunnen beschädigt,"in fürstenried sind alle brunnen trocken:
am schweizer platz schon im 2. jahr-ohne foto
kann der brunnen in der grünanlage hinter der andreaskirche nicht reaktiviert werden? foto zeigt denselben brunnen in lindau funktionierend
kann der brunnen in der grünanlage kemptener str nicht reaktiviert werden?ohne foto",2023-06-03T21:08:31+02:00,open
20118-2023,Brunnen beschädigt,#20118-2023 Brunnen beschädigt,Der Brunnen am Harras ist leider noch nicht in Betrieb   ,2023-06-15T15:00:25+02:00,open
20350-2023,Brunnen beschädigt,#20350-2023 Brunnen beschädigt,Der Brunnen Ecke Bauer- und Hiltenspergerstraße läuft noch immer nicht und ist ggf. defekt.,2023-06-21T16:21:27+02:00,open
20352-2023,Brunnen verschmutzt,#20352-2023 Brunnen verschmutzt,"Brunnen müsste bitte 1 mal im Monat sauber gemacht werden, bitte das ist so eine schöne Abkühlung für Mensch und Tier!

Vielen Dank 

Grüße 
Westend ",2023-06-21T16:58:44+02:00,open
20432-2023,Brunnen beschädigt,#20432-2023 Brunnen beschädigt,Aus dem geschlossenen Hydranten vor Ismaninger Straße 91 läuft seit einigen Tagen Wasser auf die Straße.,2023-06-23T18:44:29+02:00,open
20744-2023,Brunnen beschädigt,#20744-2023 Brunnen beschädigt,"Der Brunnen am Helmut-Fischer-Platz läuft über. Meine Reinigungsversuche, die bisher immer geklappt haben, blieben erfolglos. Das Abflussrohr scheint tiefer im Boden verstopft zu sein. ",2023-07-04T14:08:58+02:00,open
21002-2023,Brunnen beschädigt,#21002-2023 Brunnen beschädigt,"Nach der vorläufigen Abschaltung und Wiederinbetriebnahme (Meldung #20744-2023 Brunnen beschädigt) läuft der Brunnen am Helmut-Fischer-Platz seit dem 9.7.2023 wieder über.
Wie man auf dem Foto sehen kann, sind keine Blätter oder Äste dran schuld. ",2023-07-10T21:08:01+02:00,open
21078-2023,Brunnen beschädigt,#21078-2023 Brunnen beschädigt,"Es geht um den Bärenbrunnen  - ein Trinkwasserbrunnen - am Elisabethplatz 4 /bei der kleinen Grünfläche gegenüber der KFZ Schule bzw. hinter den Marktständen

in diesem Brunnen läuft seit über einem Jahr kein Wasser - die Marktleute sagen sie seien nicht zuständig, die Schlösser und Seenverwaltung sagt sie ist nicht zuständig..... und auf meine schriftliche Anfrage von letztem Jahr bekam ich weder eine Antwort noch wurde der Brunnen repariert.

Es liegt mir deshalb so am Herzen da dieser Brunnen unten 2 kleine Mulden hat die sich mit Wasser für Tiere füllen - hier gibt es viele Igel, ein paar Marder, Vögel, Insekten etc. die darauf angewiesen sind.

Als Mensch kann ich mir irgendwo eine Flasche Wasser kaufen - aber die Viecherl sind auf unsere Unterstützung angewiesen BITTE helfen SIE!!!! zumal es immer heißer wird in der Stadt ",2023-07-12T17:39:41+02:00,open
21083-2023,Brunnen beschädigt,#21083-2023 Brunnen beschädigt,"Seit längerem fällt mir auf, dass der besagte Brunnen ohne Wasser ist. An heissen Sommertagen ein beliebter Wasserspielplatz für Kinder ist trocken. Gibt es dafür einen nachvollziehbaren Grund oder ist der Münchner ""Spritzbrunnenaufdreher"" aus Kostengründen entlassen worden?  Laut Angabe von einem Herrn Valentin handelt es sich um die Summe von 2 Euro im Jahr. ",2023-07-12T19:22:28+02:00,open
21467-2023,Brunnen beschädigt,#21467-2023 Brunnen beschädigt,Brunnen ist nicht in Betrieb. Wasser ist schmutzig. ,2023-07-22T14:50:20+02:00,open
21673-2023,Geh- und Radweg verschmutzt,#21673-2023 Geh- und Radweg verschmutzt,Glasscherben auf dem Weg an der Unterführung auf der Seite der Hintermeierstr. ,2023-07-28T09:15:42+02:00,open
21889-2023,Denkmal beschädigt,#21889-2023 Denkmal beschädigt,Der Grenzstein am Elisabethmarkt ist umgestürzt (worden?),2023-08-03T06:55:40+02:00,open
22523-2023,Brunnen beschädigt,#22523-2023 Brunnen beschädigt,"Sehr geehrte Damen und Herren,
warum ist der Brunnen am Schweizer Platz in Fürstenried-West die meiste Zeit Nicht in Betrieb? Gerade in Hitzephasen ist es doch umso wichtiger das Stadtklima für die Menschen durch Brunnen erträglicher zu machen.
FfG, Hans-Jörg Reim",2023-08-20T21:56:48+02:00,open
22988-2023,Brunnen verschmutzt,#22988-2023 Brunnen verschmutzt,"Die Zigarettenstummel und Trinkflaschen-Kappen tanzen Samba, tanzen Samba die ganze Nacht",2023-09-03T00:11:52+02:00,open
23043-2023,Brunnen verschmutzt,#23043-2023 Brunnen verschmutzt,Der Spielbrunnen für Kinder ist verschmutzt und wegen des inzwischen alte grüne Wassers wird der Brunnen nicht mehr genutzt.,2023-09-04T13:52:33+02:00,open
23368-2023,Brunnen verschmutzt,#23368-2023 Brunnen verschmutzt,"Der Abfluss von Brunnen ist verstopft,  das Wasser fließt über den Weg.",2023-09-14T11:04:00+02:00,open
23649-2023,Brunnen verschmutzt,#23649-2023 Brunnen verschmutzt,Bitte Brunnen säubern ist total dreckig!..TOTE TAUBE LIEGT AUCH IM WASSER ,2023-09-21T19:06:22+02:00,open
23962-2023,Brunnen beschädigt,#23962-2023 Brunnen beschädigt,Am Brunnen vorm Aldi kommt das Wasser teilweise an der falschen Stelle raus.,2023-09-30T17:09:37+02:00,open
24254-2023,Brunnen beschädigt,#24254-2023 Brunnen beschädigt,Pumucklbrunnen am Spielplatz verstopft/läuft über,2023-10-07T18:03:11+02:00,open
24267-2023,Brunnen verschmutzt,#24267-2023 Brunnen verschmutzt,Der Teufelskopf (Wasserspender) ist mit weißer Farbe besprüht worden.,2023-10-07T21:40:45+02:00,open
24618-2023,Geh- und Radweg verschmutzt,#24618-2023 Geh- und Radweg verschmutzt,"Herrenloser Sockel
Gegenüber ein zweiter Sockel 

Stolperstein / Behinderung 

Bitte entfernen ",2023-10-16T15:57:27+02:00,closed
24774-2023,Geh- und Radweg verschmutzt,#24774-2023 Geh- und Radweg verschmutzt,Rechts im Bild und links im Bild liegen 2 Sockel,2023-10-20T13:44:03+02:00,closed
25382-2023,Brunnen beschädigt,#25382-2023 Brunnen beschädigt,An einem versenkten Hydranten Hölzlweg 2 Kreuzung Wirtsbreite tritt wenig Wasser aus. Das aber schon seit 5 Tagen (Stand Sonntag 1.11),2023-11-02T14:49:57+01:00,open
27826-2023,Brunnen beschädigt,#27826-2023 Brunnen beschädigt,"An der Ecke Edelweißstraße - Am Bergsteig ist ein Hydrant beschädigt bzw. undicht. Es tropft permanent Wasser heraus, das schon den ganzen Gehweg befeuchtet. ",2023-12-29T07:10:07+01:00,open
28050-2024,Denkmal verschmutzt,#28050-2024 Denkmal verschmutzt,Das Denkmal „Pfalzsteim“ in de Ottostr ist extrem verschmutzt und auch an einer Kante stark beschädigt. Wäre gut wann man es zumndest mal dampfstrahlen könnte. ,2024-01-01T23:37:48+01:00,open
28398-2024,Denkmal beschädigt,#28398-2024 Denkmal beschädigt,Graffiti auf der Brückenmauer,2024-01-07T10:46:11+01:00,open
29338-2024,Denkmal verschmutzt,#29338-2024 Denkmal verschmutzt,"Wenn man von der Brücke in Richtung Osten blickt, liegt ein Einkaufswagrn und ein E-Roller im Nymphenburger Schlosskanal. Bitte bergen, danke!",2024-01-30T15:09:03+01:00,open
30130-2024,Denkmal verschmutzt,#30130-2024 Denkmal verschmutzt,Graffiti an Friedhofswand,2024-02-13T23:18:10+01:00,open
31808-2024,Leuchte beschädigt,#31808-2024 Straßenbeleuchtung beschädigt,"Die Laterne fehlt komplett auf Mast bei den Riem-Arcaden, Nähe des Eingang zur Kultur-Etage, schon seit geraumer Zeit.",2024-03-20T15:54:00+01:00,open
32319-2024,Leuchte beschädigt,#32319-2024 Straßenbeleuchtung beschädigt,"Seit Monaten fehlen an diesem Lichtmasten, im Mittelstreifen die beide kompletten Lampen,
inklusive der Leuchtmittel.",2024-04-02T17:08:28+02:00,open
32320-2024,Leuchte beschädigt,#32320-2024 Straßenbeleuchtung beschädigt,"Seit Monaten fehlen an diesem Lichtmasten, im Mittelstreifen die beide kompletten Lampen,
inklusive der Leuchtmittel.",2024-04-02T17:12:01+02:00,open
32695-2024,Leuchte beschädigt,#32695-2024 Straßenbeleuchtung beschädigt,"Lampe wurde vom Schneeräumdienst im Februar angefahren. Lampenschirm abgebrochen, Mast schief",2024-04-11T11:04:34+02:00,open
33395-2024,Brunnen beschädigt,#33395-2024 Brunnen beschädigt,Am Brunnen vom Rotkreuzplatz sind drei Gullys und bei einem ist der Rost gebrochen.,2024-04-30T14:50:21+02:00,open
33565-2024,Brunnen beschädigt,#33565-2024 Brunnen beschädigt,"Am Brunnen am Gärtnerplatz Stacheldraht angebracht, der besonders für Kinder gefährlich ist ",2024-05-04T10:14:53+02:00,open
33630-2024,Brunnen verschmutzt,#33630-2024 Brunnen verschmutzt,Der Brunnen in der Heiglhofstr. 1c ist mit Graffiti beschmiert. ,2024-05-05T19:49:12+02:00,open
33721-2024,Spielplatz beschädigt,#33721-2024 Spielplatz beschädigt,"Seit längerer Zeit steht im Weißenseepark ein Bauzaun, und das Klettergerüst ist entfernt.
Der Bauzaun wird immer instabiler und auf dem Foto sehen Sie, dass die Überreste der Spielgeräte eingefahren Potenzial darstellen.
Gibt es einen Plan, wann der Spielplatz wieder instandgesetzt wird?",2024-05-07T15:20:41+02:00,open
33939-2024,Brunnen beschädigt,#33939-2024 Brunnen beschädigt,"Wertes Team der Stadt München,

der Kopf einer Figur hat scheinbar neuerdings einen Riss (frische Abplatzspuren). Ich gehe davon aus, dass der Kopf eine vernünftige Armierung hat und von innen gehalten wird. Trotzdem melde ich den Schaden sicherheitshalber, da als Klettergerüst von Kindern genutzt.",2024-05-11T19:19:24+02:00,open
34099-2024,Brunnen beschädigt,#34099-2024 Brunnen beschädigt,Der Trinkbrunnen am WC-Container im Nußbaumpark entlang der Ziemssenstraße funktioniert nicht.,2024-05-14T22:33:10+02:00,open
34227-2024,Brunnen verschmutzt,#34227-2024 Brunnen verschmutzt,Brunnen ständig mit Gras verschmutzt.,2024-05-18T18:17:44+02:00,open
34440-2024,Brunnen beschädigt,#34440-2024 Brunnen beschädigt,"Ich fände es schön, wenn der Gondel Brunnen am Rudi-Hierl-Platz (vom Künstler Alexander Laner) wieder instandgesetzt würde. Momentan läuft zwar Wasser heraus, aber die Gondel steckt an einem Anschlag fest und fährt nicht mehr am Seil hin und her.",2024-05-23T21:57:12+02:00,open
34442-2024,Brunnen beschädigt,#34442-2024 Brunnen beschädigt,"Hallo, 
beim Brunnen vor der Kirche am Dietzelfelbingerplatz läuft das Wasser nur aus drei statt aus vier Hähnen. Offenbar ist einer defekt. Danke.
",2024-05-23T23:41:46+02:00,open
34710-2024,Leuchte ausgefallen,#34710-2024 Straßenbeleuchtung ausgefallen,Bei Hängeleuchte eine der beiden Leuchtstoffröhren defekt und Lampenglas innen voller Wasser bzw. stark verschmutzt,2024-05-30T01:16:50+02:00,open
34909-2024,Brunnen beschädigt,#34909-2024 Brunnen beschädigt,Der Trinkwasserbrunnen im Olympiapark beim Skatepark funktioniert leider schon seit Wochen nicht.,2024-06-03T17:40:56+02:00,open
35026-2024,Park verschmutzt,#35026-2024 Park verschmutzt,"Hier zeltet jemand, Ich denke das ist nicht erlaubt 🚫 keine Ahnung wo man das richtig meldet. Deswegen melde ich es hier.",2024-06-06T14:40:39+02:00,open
35092-2024,Brunnen verschmutzt,#35092-2024 Brunnen verschmutzt,Gebrochene glas Flasche sind im Brunnen.,2024-06-08T14:02:21+02:00,open
35124-2024,Brunnen beschädigt,#35124-2024 Brunnen beschädigt,"Brunnen im Luitpoldpark hat heute am Sonntag den 09.06.24 nicht funktioniert. Es lief kein Wasser bzw. habe ich keinen Knopf ausfindig machen können, um es zum Laufen zu bringen. ",2024-06-09T15:05:47+02:00,open
35192-2024,Leuchte beschädigt,#35192-2024 Straßenbeleuchtung beschädigt,"Soeben ist die Lampe vom Mast vor dem Anwesen Pretzfelder Straße 34a, 81249 München,  auf die Straße gefallen, direkt vor ein Auto, das zum Glück nicht getroffen wurde. Der Fahrer hat die Lampe auf dem Grünstreifen abgelegt. ",2024-06-11T07:43:44+02:00,open
35843-2024,Brunnen beschädigt,#35843-2024 Brunnen beschädigt,"Großer Fehler beim Brunnen am Weißenburger Platz. Brunnen läuft nur einseitig auf den oberen drei Ebenen!!
Richtung Westen (Richtung Rosenheimer Platz) läuft überhaupt kein Wasser. Bitte dringend reparieren bevor der Sommer vorbei ist!! DANKE!!
",2024-06-25T08:56:58+02:00,open
36693-2024,Brunnen beschädigt,#36693-2024 Brunnen beschädigt,"Hallo,
1. Brunnen ""Weißenburger Platz"" ist seit mindestens 10 Tage komplett KAPUTT! Es fließt überhaupt kein Wasser mehr - und das im Sommer!!! (Der Sommer ist bald vorbei!!)
2. Brunnen wird von Kindern zum Turnen benutzt - UNFALLGEFAHR - Keine Absicherung!!
Bitte kurzfristig reparieren - Danke !!",2024-07-13T06:15:24+02:00,open
36703-2024,Brunnen beschädigt,#36703-2024 Brunnen beschädigt,"Hallo,Brunnen ""Weißenburger Platz"" ist seit ca. 2 Wochen ausgeschaltet - Bitte absichern wg. Unfallgefahr - Bitte Hinweisschild anbringen wie bei jeder Stadtwerke (SWM) Baustelle - Grund der Baumaßnahme und Termin-Anfang und Ende! Ansonsten bitte umgehend reparieren! (Der Sommer ist nur kurz!)",2024-07-13T13:36:57+02:00,open
36885-2024,Brunnen beschädigt,#36885-2024 Brunnen beschädigt,"Hallo, 
der Brunnen am Weißenburger Platz ist seit ca. 2 Wochen ausgefallen - Bitte reparieren, sonst ist der
Sommer bald vorbei - oder haben Sie keinen Spaß mehr an funktionierenden Brunnen - müsste man
eigenlich der Presse melden für einen großen Artikel - Es wird sich einfach nicht gekümmert!!!!",2024-07-17T17:20:12+02:00,open
38270-2024,Leuchte beschädigt,#38270-2024 Straßenbeleuchtung beschädigt,Vom Schneepflug im Winter angefahren. Lampenschirm kaputt und völlig schief,2024-08-13T17:42:49+02:00,open
38621-2024,Geh- und Radweg verschmutzt,#38621-2024 Geh- und Radweg verschmutzt,"Seit kurzem besteht eine Stolperfalle vor dem Haus 

Schönfeldstraße 17 
80539 München 

durch deutliche Absenkung einer Steinplatte auf dem viel begangenen Gehsteig. ",2024-08-21T17:40:25+02:00,closed
39537-2024,Leuchte ausgefallen,#39537-2024 Straßenbeleuchtung ausgefallen,Am Anfang der Perhamerstraße (von Fürstenriederstr. bis auf Höhe Lutzstraße) ging in der Nacht von 6.9. auf 7.9.24 keine einzige Straßenlaterne.,2024-09-07T11:42:20+02:00,open
39688-2024,Leuchte ausgefallen,#39688-2024 Straßenbeleuchtung ausgefallen,Straßenlaterne Mast 2 ist aus. ,2024-09-09T23:30:43+02:00,open
39761-2024,Leuchte ausgefallen,#39761-2024 Straßenbeleuchtung ausgefallen,Hängelampe aus auf Höhe Renatastr. 33,2024-09-10T20:38:45+02:00,open
39817-2024,Leuchte beschädigt,#39817-2024 Straßenbeleuchtung beschädigt,Die Strassenlaterne an der Thornerstr.19 Ecke Torgauerstr. ist seit März 2024 nicht mehr vorhanden. Diese war mit Farbe beschmiert und beschädigt worden und ist nicht mehr Funktionsfähig gewesen. Danach wurde diese Lampe entfernt und bis heute nicht mehr erneuert. ,2024-09-11T22:24:09+02:00,open
40636-2024,Leuchte beschädigt,#40636-2024 Straßenbeleuchtung beschädigt,"Die Abdeckung des Stomkanals ist offen. 
VERLETZUNGSGEFAHR FÜR KINDER

Vielen Dank für die Behebung.",2024-09-28T17:26:24+02:00,open
40831-2024,Oktoberfest,#40831-2024 Oktoberfest,"Auf unserem Fahrradabstellplatz wurde Nahrung sowohl oral als auch rektal ausgeschieden. Ich möchte Sie bitten, unseren Hof zu reinigen.",2024-10-01T10:21:29+02:00,open
